time,transnational_regions,realization,t2m
1940-01-01,8,0,277.3838489888895
1940-02-01,8,0,281.2341545631871
1940-03-01,8,0,284.2599677902044
1940-04-01,8,0,287.96476555382185
1940-05-01,8,0,292.079620254312
1940-06-01,8,0,295.64122376447517
1940-07-01,8,0,299.1730011262102
1940-08-01,8,0,299.1329718795315
1940-09-01,8,0,295.84872058273515
1940-10-01,8,0,290.35273357509584
1940-11-01,8,0,285.69313927512974
1940-12-01,8,0,277.1864477598741
1941-01-01,8,0,278.7818137492437
1941-02-01,8,0,282.39267558678597
1941-03-01,8,0,284.69619795527376
1941-04-01,8,0,287.3177605135954
1941-05-01,8,0,290.8267527823534
1941-06-01,8,0,297.2595612076606
1941-07-01,8,0,300.45973740234
1941-08-01,8,0,299.63357532200007
1941-09-01,8,0,294.69915869118927
1941-10-01,8,0,289.8356463345926
1941-11-01,8,0,283.39724255225644
1941-12-01,8,0,279.8173229111529
1942-01-01,8,0,276.21978891421946
1942-02-01,8,0,278.97247102412325
1942-03-01,8,0,284.40995006839427
1942-04-01,8,0,288.13716151831403
1942-05-01,8,0,293.23728109890254
1942-06-01,8,0,297.5171585246858
1942-07-01,8,0,299.75299079235594
1942-08-01,8,0,300.05218522214125
1942-09-01,8,0,297.5769268022451
1942-10-01,8,0,292.0392694837568
1942-11-01,8,0,284.32056179562323
1942-12-01,8,0,282.1472782945161
1943-01-01,8,0,279.850106619023
1943-02-01,8,0,282.56472411151356
1943-03-01,8,0,284.4346086503139
1943-04-01,8,0,289.2909496328068
1943-05-01,8,0,292.8418164974473
1943-06-01,8,0,296.8664559237149
1943-07-01,8,0,299.8744405505158
1943-08-01,8,0,301.3216405762006
1943-09-01,8,0,297.50507675391174
1943-10-01,8,0,291.6466607879109
1943-11-01,8,0,284.81776979655695
1943-12-01,8,0,281.7736098195054
1944-01-01,8,0,281.0520924246697
1944-02-01,8,0,279.8106400941074
1944-03-01,8,0,282.93233413050365
1944-04-01,8,0,288.9064213708415
1944-05-01,8,0,292.98142239206993
1944-06-01,8,0,296.37554424857024
1944-07-01,8,0,299.36484393924854
1944-08-01,8,0,300.40626406715535
1944-09-01,8,0,296.1890088462007
1944-10-01,8,0,290.06394067279314
1944-11-01,8,0,285.3930505601139
1944-12-01,8,0,280.28951529698827
1945-01-01,8,0,277.0592072344475
1945-02-01,8,0,282.2302802653292
1945-03-01,8,0,285.36237387707035
1945-04-01,8,0,290.36044821669947
1945-05-01,8,0,295.06014342575065
1945-06-01,8,0,298.6168675705327
1945-07-01,8,0,301.068967250273
1945-08-01,8,0,300.1844535446735
1945-09-01,8,0,297.30438450184437
1945-10-01,8,0,291.0872428378731
1945-11-01,8,0,285.47321692655305
1945-12-01,8,0,281.61373391724294
1946-01-01,8,0,279.2024275835737
1946-02-01,8,0,282.4730734705956
1946-03-01,8,0,284.73609985786106
1946-04-01,8,0,288.79902276713904
1946-05-01,8,0,291.97258646446966
1946-06-01,8,0,296.9456853489894
1946-07-01,8,0,301.1335497627985
1946-08-01,8,0,301.4437404553557
1946-09-01,8,0,298.7259226210567
1946-10-01,8,0,290.86204768240395
1946-11-01,8,0,285.9807416154384
1946-12-01,8,0,279.4440301364583
1947-01-01,8,0,277.89380757233823
1947-02-01,8,0,281.3200196451617
1947-03-01,8,0,286.68994701645386
1947-04-01,8,0,290.6667928223069
1947-05-01,8,0,293.40582742563146
1947-06-01,8,0,298.2627559168146
1947-07-01,8,0,300.70907597954806
1947-08-01,8,0,300.51805076250065
1947-09-01,8,0,297.24246149231413
1947-10-01,8,0,291.0399582537742
1947-11-01,8,0,287.2585432460008
1947-12-01,8,0,281.112052893806
1948-01-01,8,0,282.7166993471345
1948-02-01,8,0,281.66770400782974
1948-03-01,8,0,285.81633250988443
1948-04-01,8,0,287.97335675458226
1948-05-01,8,0,291.8801256751689
1948-06-01,8,0,295.4180529872482
1948-07-01,8,0,297.85555892063775
1948-08-01,8,0,299.70120406261475
1948-09-01,8,0,296.2359982565954
1948-10-01,8,0,291.652002920577
1948-11-01,8,0,286.4963065011962
1948-12-01,8,0,281.0843722035057
1949-01-01,8,0,281.2219536078575
1949-02-01,8,0,282.5423905810131
1949-03-01,8,0,282.65885853023894
1949-04-01,8,0,289.89455912501364
1949-05-01,8,0,291.76950193334676
1949-06-01,8,0,296.2545853260546
1949-07-01,8,0,299.7890667608366
1949-08-01,8,0,299.61550060742275
1949-09-01,8,0,296.1472633583602
1949-10-01,8,0,291.4413942747593
1949-11-01,8,0,285.76220897943836
1949-12-01,8,0,282.47360032408255
1950-01-01,8,0,279.67211465422633
1950-02-01,8,0,283.31802142341184
1950-03-01,8,0,285.5885524681688
1950-04-01,8,0,288.6232676855583
1950-05-01,8,0,293.05701113969343
1950-06-01,8,0,298.47975089772757
1950-07-01,8,0,302.33033965640004
1950-08-01,8,0,300.73232256514063
1950-09-01,8,0,297.2373162662415
1950-10-01,8,0,291.4257077335073
1950-11-01,8,0,286.4648088332183
1950-12-01,8,0,281.45628608024117
1951-01-01,8,0,281.4227139400381
1951-02-01,8,0,282.325650670872
1951-03-01,8,0,284.6922655190788
1951-04-01,8,0,288.32886713891855
1951-05-01,8,0,291.31723407790423
1951-06-01,8,0,296.7277945818883
1951-07-01,8,0,299.44342235627823
1951-08-01,8,0,299.8430735237995
1951-09-01,8,0,296.7933537060643
1951-10-01,8,0,288.83965009373867
1951-11-01,8,0,286.4641194896178
1951-12-01,8,0,282.5333311376154
1952-01-01,8,0,280.0388854125332
1952-02-01,8,0,281.12716106428184
1952-03-01,8,0,285.3649473822628
1952-04-01,8,0,289.82941050029785
1952-05-01,8,0,292.39598950298864
1952-06-01,8,0,297.95260840263006
1952-07-01,8,0,300.7063768646617
1952-08-01,8,0,301.1387580885866
1952-09-01,8,0,295.8586219740878
1952-10-01,8,0,291.4118165208564
1952-11-01,8,0,285.2323354878565
1952-12-01,8,0,281.9259568702116
1953-01-01,8,0,279.4032443525261
1953-02-01,8,0,281.31023396417265
1953-03-01,8,0,284.5500215518996
1953-04-01,8,0,289.0099380112172
1953-05-01,8,0,293.38309190076234
1953-06-01,8,0,295.6012970240703
1953-07-01,8,0,300.06804463442097
1953-08-01,8,0,299.91168105694067
1953-09-01,8,0,296.9422836513428
1953-10-01,8,0,290.96954960634145
1953-11-01,8,0,285.2419295232944
1953-12-01,8,0,282.4854281995123
1954-01-01,8,0,277.9390712211847
1954-02-01,8,0,278.8373377295677
1954-03-01,8,0,284.6189678023012
1954-04-01,8,0,286.7793687217053
1954-05-01,8,0,291.5068681168488
1954-06-01,8,0,296.9976114868093
1954-07-01,8,0,298.883576412606
1954-08-01,8,0,298.758754353502
1954-09-01,8,0,297.3209220174268
1954-10-01,8,0,291.597143991772
1954-11-01,8,0,285.75567705216497
1954-12-01,8,0,282.61283749938514
1955-01-01,8,0,282.52075691600476
1955-02-01,8,0,283.05279623163096
1955-03-01,8,0,283.7397326463424
1955-04-01,8,0,288.0377250707025
1955-05-01,8,0,293.4440456464221
1955-06-01,8,0,296.54008788519934
1955-07-01,8,0,299.2685200574914
1955-08-01,8,0,298.43539096523597
1955-09-01,8,0,295.4338849384626
1955-10-01,8,0,290.6324141133073
1955-11-01,8,0,284.9398379784951
1955-12-01,8,0,283.56301142820166
1956-01-01,8,0,281.45392938764275
1956-02-01,8,0,276.32894641960445
1956-03-01,8,0,282.6631330422831
1956-04-01,8,0,287.33695030744116
1956-05-01,8,0,292.3320197005655
1956-06-01,8,0,295.19656740928144
1956-07-01,8,0,299.12694922686575
1956-08-01,8,0,299.74713191909836
1956-09-01,8,0,296.6233202451096
1956-10-01,8,0,290.54518111782176
1956-11-01,8,0,283.4069213701075
1956-12-01,8,0,280.7705400557812
