time,transnational_regions,realization,t2m
1940-01-01,8,0,278.2375367794422
1940-02-01,8,0,279.75446387057275
1940-03-01,8,0,283.51586607771253
1940-04-01,8,0,285.06099875460245
1940-05-01,8,0,288.9536407408253
1940-06-01,8,0,290.87644367021915
1940-07-01,8,0,293.65988396511284
1940-08-01,8,0,294.0314562742674
1940-09-01,8,0,290.61207678046003
1940-10-01,8,0,288.74815835247824
1940-11-01,8,0,284.6117089047046
1940-12-01,8,0,278.6896391125718
1941-01-01,8,0,280.531766432484
1941-02-01,8,0,280.9104520384718
1941-03-01,8,0,282.1679047614549
1941-04-01,8,0,284.20121816131405
1941-05-01,8,0,287.7699248188797
1941-06-01,8,0,292.93882253652055
1941-07-01,8,0,294.70483074996207
1941-08-01,8,0,294.0573589694718
1941-09-01,8,0,290.7228152898414
1941-10-01,8,0,287.8203996024241
1941-11-01,8,0,284.30489636278264
1941-12-01,8,0,279.5331477699805
1942-01-01,8,0,277.82669524871994
1942-02-01,8,0,278.9952155903269
1942-03-01,8,0,282.24796633173503
1942-04-01,8,0,284.7790195085903
1942-05-01,8,0,289.54493906886637
1942-06-01,8,0,292.4555879615587
1942-07-01,8,0,293.9691155440644
1942-08-01,8,0,293.8053589127566
1942-09-01,8,0,292.54278877435354
1942-10-01,8,0,288.7571112089039
1942-11-01,8,0,285.18396108016066
1942-12-01,8,0,281.51909717083436
1943-01-01,8,0,279.6694180494285
1943-02-01,8,0,280.03812766424323
1943-03-01,8,0,281.72570531843564
1943-04-01,8,0,285.784413392788
1943-05-01,8,0,288.7302351813045
1943-06-01,8,0,291.7024992742913
1943-07-01,8,0,294.635221953881
1943-08-01,8,0,294.7800381263945
1943-09-01,8,0,293.1523022833685
1943-10-01,8,0,289.449111539519
1943-11-01,8,0,284.40189464362186
1943-12-01,8,0,281.7093106199874
1944-01-01,8,0,278.3657735244309
1944-02-01,8,0,278.8420120199354
1944-03-01,8,0,280.6541326951059
1944-04-01,8,0,285.12647572646756
1944-05-01,8,0,288.70431396750587
1944-06-01,8,0,291.52956191957094
1944-07-01,8,0,293.6352709128637
1944-08-01,8,0,294.4685903803312
1944-09-01,8,0,293.2535728845527
1944-10-01,8,0,287.97646995320656
1944-11-01,8,0,284.51595790155807
1944-12-01,8,0,281.5256510310822
1945-01-01,8,0,277.1968622182584
1945-02-01,8,0,278.4976857075585
1945-03-01,8,0,281.7148722999701
1945-04-01,8,0,285.4468987045204
1945-05-01,8,0,290.30719387742545
1945-06-01,8,0,293.44461118890337
1945-07-01,8,0,295.3494690134022
1945-08-01,8,0,294.80706457856775
1945-09-01,8,0,292.69642551751247
1945-10-01,8,0,287.2402082915812
1945-11-01,8,0,285.38796481181566
1945-12-01,8,0,281.3083724954762
1946-01-01,8,0,279.38054196384974
1946-02-01,8,0,279.4687359082486
1946-03-01,8,0,281.80265822564945
1946-04-01,8,0,284.340039831332
1946-05-01,8,0,287.7914019747637
1946-06-01,8,0,291.89746213199714
1946-07-01,8,0,294.840990340326
1946-08-01,8,0,295.37975764890405
1946-09-01,8,0,293.19803008929443
1946-10-01,8,0,289.2079991555428
1946-11-01,8,0,285.1804047819638
1946-12-01,8,0,280.9440165131663
1947-01-01,8,0,278.5965457360928
1947-02-01,8,0,281.10001009101325
1947-03-01,8,0,284.3327609216468
1947-04-01,8,0,286.34690706201934
1947-05-01,8,0,289.7670691526554
1947-06-01,8,0,293.404622637153
1947-07-01,8,0,295.24148683331987
1947-08-01,8,0,295.623917933042
1947-09-01,8,0,291.95611875486964
1947-10-01,8,0,288.69851458329197
1947-11-01,8,0,285.22940031295127
1947-12-01,8,0,282.42080457928364
1948-01-01,8,0,281.84284549280943
1948-02-01,8,0,279.93978435346037
1948-03-01,8,0,281.13873279857035
1948-04-01,8,0,283.9881314976527
1948-05-01,8,0,288.6107452894841
1948-06-01,8,0,291.5339862255826
1948-07-01,8,0,293.1704022493472
1948-08-01,8,0,294.0762578866601
1948-09-01,8,0,291.55454713886184
1948-10-01,8,0,288.2997969632544
1948-11-01,8,0,285.5936349491921
1948-12-01,8,0,280.36974489475216
1949-01-01,8,0,280.1328929658391
1949-02-01,8,0,279.1932074098844
1949-03-01,8,0,280.69735061403895
1949-04-01,8,0,285.80294212768877
1949-05-01,8,0,288.74297109821026
1949-06-01,8,0,291.40059992449494
1949-07-01,8,0,294.43563187415356
1949-08-01,8,0,294.75976460019604
1949-09-01,8,0,292.43813059564843
1949-10-01,8,0,288.8169783474732
1949-11-01,8,0,285.1526941242295
1949-12-01,8,0,282.11552303267575
1950-01-01,8,0,279.11303960338387
1950-02-01,8,0,280.72123454237084
1950-03-01,8,0,282.09086259615924
1950-04-01,8,0,285.2594208770456
1950-05-01,8,0,289.6531467735189
1950-06-01,8,0,293.67428993039846
1950-07-01,8,0,295.8205637713959
1950-08-01,8,0,295.0353286594891
1950-09-01,8,0,292.814634417433
1950-10-01,8,0,288.55531121604906
1950-11-01,8,0,285.58361049974263
1950-12-01,8,0,282.2462767025444
1951-01-01,8,0,280.38092090315536
1951-02-01,8,0,280.87479478755125
1951-03-01,8,0,283.8327000209514
1951-04-01,8,0,284.73592328081367
1951-05-01,8,0,289.1873895932601
1951-06-01,8,0,292.35327971853184
1951-07-01,8,0,294.56370176240813
1951-08-01,8,0,294.6734225792628
1951-09-01,8,0,292.7623068765456
1951-10-01,8,0,287.76262976417127
1951-11-01,8,0,285.9997171485537
1951-12-01,8,0,281.43692356431404
1952-01-01,8,0,279.6528147999877
1952-02-01,8,0,279.7230845853884
1952-03-01,8,0,284.98422033278985
1952-04-01,8,0,286.223919842363
1952-05-01,8,0,289.1461612757188
1952-06-01,8,0,293.73074386257963
1952-07-01,8,0,295.350492306506
1952-08-01,8,0,295.6904254247901
1952-09-01,8,0,293.0090666694988
1952-10-01,8,0,289.6295261133788
1952-11-01,8,0,284.8699657681589
1952-12-01,8,0,283.6538618921967
1953-01-01,8,0,279.28946667344127
1953-02-01,8,0,279.49792653356656
1953-03-01,8,0,281.45333957236267
1953-04-01,8,0,285.04625935041383
1953-05-01,8,0,290.1959875244462
1953-06-01,8,0,292.3927409055606
1953-07-01,8,0,294.64234177407786
1953-08-01,8,0,294.0806617991873
1953-09-01,8,0,292.58077938297674
1953-10-01,8,0,289.3678216589557
1953-11-01,8,0,284.1145048944853
1953-12-01,8,0,282.4834778319628
1954-01-01,8,0,278.8312999094229
1954-02-01,8,0,279.74183574976433
1954-03-01,8,0,282.8637886841633
1954-04-01,8,0,284.5246740039205
1954-05-01,8,0,288.32106620334076
1954-06-01,8,0,293.09176477131643
1954-07-01,8,0,294.5843059304148
1954-08-01,8,0,293.75616447951893
1954-09-01,8,0,292.1055718382697
1954-10-01,8,0,287.84686354516657
1954-11-01,8,0,286.1765805652765
1954-12-01,8,0,282.71628286365024
1955-01-01,8,0,283.0676051128072
1955-02-01,8,0,282.2785491541677
1955-03-01,8,0,284.7273203849484
1955-04-01,8,0,284.19671409556645
1955-05-01,8,0,288.92821789531934
1955-06-01,8,0,292.4835066157872
1955-07-01,8,0,294.6412557957317
1955-08-01,8,0,293.0639927849379
