Código del producto (CPC),Producto,Código del año,Año,Produccion(toneladas),Area_cosechada(ha),Rendimiento(kg/ha)
111.0,Trigo,1961,1961,3438000.0,3890605.0,883.7
111.0,Trigo,1962,1962,4819545.0,4262540.0,1130.7
111.0,Trigo,1963,1963,4865360.0,4247015.0,1145.6
111.0,Trigo,1964,1964,3981000.0,4143000.0,960.9
111.0,Trigo,1965,1965,4719000.0,4260000.0,1107.7
111.0,Trigo,1966,1966,4881000.0,4191000.0,1164.6
111.0,Trigo,1967,1967,5654000.0,4263000.0,1326.3
111.0,Trigo,1968,1968,5315000.0,3966000.0,1340.1
111.0,Trigo,1969,1969,4626000.0,3770000.0,1227.1
111.0,Trigo,1970,1970,4062000.0,3756700.0,1081.3
111.0,Trigo,1971,1971,5449700.0,3655600.0,1490.8
111.0,Trigo,1972,1972,4562500.0,3587500.0,1271.8
111.0,Trigo,1973,1973,3967300.0,3152700.0,1258.4
111.0,Trigo,1974,1974,4534600.0,3164400.0,1433.0
111.0,Trigo,1975,1975,4302900.0,2661200.0,1616.9
111.0,Trigo,1976,1976,4436200.0,2772100.0,1600.3
111.0,Trigo,1977,1977,4064100.0,2715000.0,1496.9
111.0,Trigo,1978,1978,4806100.0,2751947.0,1746.4
111.0,Trigo,1979,1979,4082300.0,2551000.0,1600.3
111.0,Trigo,1980,1980,6039500.0,2698700.0,2237.9
111.0,Trigo,1981,1981,3408500.0,2635400.0,1293.4
111.0,Trigo,1982,1982,4410300.0,2662000.0,1656.8
111.0,Trigo,1983,1983,4267900.0,2603600.0,1639.2
111.0,Trigo,1984,1984,6052300.0,2305700.0,2624.9
111.0,Trigo,1985,1985,5328688.0,2043285.0,2607.9
111.0,Trigo,1986,1986,4392000.0,2114000.0,2077.6
111.0,Trigo,1987,1987,5791000.0,2221000.0,2607.4
111.0,Trigo,1988,1988,6514100.0,2338800.0,2785.2
111.0,Trigo,1989,1989,5468200.0,2317300.0,2359.7
111.0,Trigo,1990,1990,4773500.0,2006600.0,2378.9
111.0,Trigo,1991,1991,5467700.0,2223400.0,2459.2
111.0,Trigo,1992,1992,4357506.0,2243100.0,1942.6
111.0,Trigo,1993,1993,4972971.0,2030479.0,2449.2
111.0,Trigo,1994,1994,4302340.0,1969650.0,2184.3
111.0,Trigo,1995,1995,3138700.0,2126400.0,1476.1
111.0,Trigo,1996,1996,6040500.0,2012400.0,3001.6
111.0,Trigo,1997,1997,4676290.0,2078550.0,2249.8
111.0,Trigo,1998,1998,5436300.0,1912560.0,2842.4
111.0,Trigo,1999,1999,5083800.0,2422400.0,2098.7
111.0,Trigo,2000,2000,7293623.0,2353027.0,3099.7
111.0,Trigo,2001,2001,5007698.0,2177005.0,2300.3
111.0,Trigo,2002,2002,6822160.0,2406643.0,2834.7
111.0,Trigo,2003,2003,6290100.0,2151500.0,2923.6
111.0,Trigo,2004,2004,7096724.0,2175028.0,3262.8
111.0,Trigo,2005,2005,4026694.0,2274109.0,1770.7
111.0,Trigo,2006,2006,5521582.0,1920233.0,2875.5
111.0,Trigo,2007,2007,6436359.0,1803313.0,3569.2
111.0,Trigo,2008,2008,6714300.0,2067000.0,3248.3
111.0,Trigo,2009,2009,4804772.0,1772752.0,2710.3
111.0,Trigo,2010,2010,5941197.0,1948073.0,3049.8
111.0,Trigo,2011,2011,6876657.0,1994653.0,3447.5
111.0,Trigo,2012,2012,5189828.0,2188171.0,2371.8
111.0,Trigo,2013,2013,7744900.0,2125000.0,3644.7
111.0,Trigo,2014,2014,6471400.0,2171200.0,2980.6
111.0,Trigo,2015,2015,6362694.0,2176354.0,2923.6
111.0,Trigo,2016,2016,7873135.0,2256848.0,3488.6
111.0,Trigo,2017,2017,4875957.0,2096058.0,2326.3
111.0,Trigo,2018,2018,8322510.0,2063680.0,4032.8
111.0,Trigo,2019,2019,6041170.0,1920090.0,3146.3
111.0,Trigo,2020,2020,8143510.0,1914660.0,4253.2
111.0,Trigo,2021,2021,8564630.0,2128470.0,4023.8
111.0,Trigo,2022,2022,6508800.0,2172700.0,2995.7
111.0,Trigo,2023,2023,4049230.0,1957760.0,2068.3
112.0,Maíz,1961,1961,1066800.0,446700.0,2388.2
112.0,Maíz,1962,1962,920399.0,429925.0,2140.8
112.0,Maíz,1963,1963,1171300.0,487144.0,2404.4
112.0,Maíz,1964,1964,1202811.0,514199.0,2339.2
112.0,Maíz,1965,1965,1141857.0,478254.0,2387.6
112.0,Maíz,1966,1966,1154300.0,482200.0,2393.8
112.0,Maíz,1967,1967,1195316.0,477939.0,2501.0
112.0,Maíz,1968,1968,1473100.0,522971.0,2816.8
112.0,Maíz,1969,1969,1507300.0,494400.0,3048.7
112.0,Maíz,1970,1970,1847600.0,539000.0,3427.8
112.0,Maíz,1971,1971,2056300.0,543500.0,3783.4
112.0,Maíz,1972,1972,1922600.0,533700.0,3602.4
112.0,Maíz,1973,1973,2037900.0,522700.0,3898.8
112.0,Maíz,1974,1974,1992500.0,500500.0,3981.0
112.0,Maíz,1975,1975,1793600.0,484900.0,3698.9
112.0,Maíz,1976,1976,1544900.0,431700.0,3578.6
112.0,Maíz,1977,1977,1892200.0,422200.0,4481.8
112.0,Maíz,1978,1978,1969000.0,443277.0,4441.9
112.0,Maíz,1979,1979,2211700.0,466700.0,4739.0
112.0,Maíz,1980,1980,2313600.0,454500.0,5090.4
112.0,Maíz,1981,1981,2156800.0,428700.0,5031.0
112.0,Maíz,1982,1982,2330100.0,418300.0,5570.4
112.0,Maíz,1983,1983,1803400.0,354145.0,5092.3
112.0,Maíz,1984,1984,2529100.0,440180.0,5745.6
112.0,Maíz,1985,1985,3413788.0,526179.0,6487.9
112.0,Maíz,1986,1986,3423700.0,523965.0,6534.2
112.0,Maíz,1987,1987,3557406.0,542195.0,6561.1
112.0,Maíz,1988,1988,3577000.0,556100.0,6432.3
112.0,Maíz,1989,1989,3328000.0,527900.0,6304.2
112.0,Maíz,1990,1990,3041900.0,473400.0,6425.6
112.0,Maíz,1991,1991,3233250.0,484800.0,6669.2
112.0,Maíz,1992,1992,2757500.0,392974.0,7017.0
112.0,Maíz,1993,1993,1632929.0,264500.0,6173.6
112.0,Maíz,1994,1994,2343600.0,341800.0,6856.6
112.0,Maíz,1995,1995,2590400.0,357500.0,7245.9
112.0,Maíz,1996,1996,3751000.0,439700.0,8530.8
112.0,Maíz,1997,1997,4451502.0,486500.0,9150.1
112.0,Maíz,1998,1998,4349100.0,459100.0,9473.1
112.0,Maíz,1999,1999,3768600.0,397500.0,9480.8
112.0,Maíz,2000,2000,3991752.0,433146.0,9215.7
112.0,Maíz,2001,2001,4981901.0,512500.0,9720.8
112.0,Maíz,2002,2002,4425373.0,465134.0,9514.2
112.0,Maíz,2003,2003,4338700.0,479900.0,9040.8
112.0,Maíz,2004,2004,4831147.0,479801.0,10069.1
112.0,Maíz,2005,2005,3981370.0,414298.0,9609.9
112.0,Maíz,2006,2006,3355722.0,344400.0,9743.7
112.0,Maíz,2007,2007,3610937.0,360998.0,10002.7
112.0,Maíz,2008,2008,3628600.0,366300.0,9906.1
112.0,Maíz,2009,2009,3515617.0,348949.0,10074.9
112.0,Maíz,2010,2010,3324821.0,314990.0,10555.3
112.0,Maíz,2011,2011,4199927.0,369264.0,11373.8
112.0,Maíz,2012,2012,4262116.0,390433.0,10916.4
112.0,Maíz,2013,2013,4885000.0,442300.0,11044.5
112.0,Maíz,2014,2014,4776190.0,418545.0,11411.4
112.0,Maíz,2015,2015,4564416.0,398257.0,11461.0
112.0,Maíz,2016,2016,4069508.0,359275.0,11327.0
112.0,Maíz,2017,2017,3775645.0,333628.0,11316.9
112.0,Maíz,2018,2018,3842520.0,322370.0,11919.6
112.0,Maíz,2019,2019,4184460.0,356830.0,11726.8
