time,transnational_regions,realization,t2m
1940-01-01,8,0,274.07592042314906
1940-02-01,8,0,277.55636609286967
1940-03-01,8,0,280.15272797867885
1940-04-01,8,0,283.8238410236363
1940-05-01,8,0,288.0693101824522
1940-06-01,8,0,291.68241210363146
1940-07-01,8,0,294.69087429457807
1940-08-01,8,0,294.46078209747697
1940-09-01,8,0,291.35615565938383
1940-10-01,8,0,286.78898161360485
1940-11-01,8,0,282.2107658312903
1940-12-01,8,0,273.8626429419051
1941-01-01,8,0,276.0104424367413
1941-02-01,8,0,279.01046608061233
1941-03-01,8,0,280.61945508172903
1941-04-01,8,0,283.43030761095986
1941-05-01,8,0,286.9905987826126
1941-06-01,8,0,292.8792489176542
1941-07-01,8,0,295.81569723511296
1941-08-01,8,0,294.9435330555174
1941-09-01,8,0,290.403130239499
1941-10-01,8,0,285.78630957328335
1941-11-01,8,0,280.2567309454058
1941-12-01,8,0,276.16722248255945
1942-01-01,8,0,273.12582954240634
1942-02-01,8,0,275.80853049013774
1942-03-01,8,0,280.91074786824277
1942-04-01,8,0,284.39438298307135
1942-05-01,8,0,288.9378647771995
1942-06-01,8,0,293.1972722629355
1942-07-01,8,0,295.0942809451475
1942-08-01,8,0,295.4514027345691
1942-09-01,8,0,292.9834887902599
1942-10-01,8,0,287.74494064092335
1942-11-01,8,0,280.9743993129913
1942-12-01,8,0,278.85509489915484
1943-01-01,8,0,276.50204840385106
1943-02-01,8,0,278.5081195209814
1943-03-01,8,0,280.595673951144
1943-04-01,8,0,285.0576120232793
1943-05-01,8,0,288.81425182198706
1943-06-01,8,0,292.69619358727357
1943-07-01,8,0,295.4430367577048
1943-08-01,8,0,296.52700144134826
1943-09-01,8,0,293.08086328041
1943-10-01,8,0,287.93986751361325
1943-11-01,8,0,281.61616424022566
1943-12-01,8,0,278.9937016286169
1944-01-01,8,0,277.0262419915051
1944-02-01,8,0,276.3074507808368
1944-03-01,8,0,279.0852841321472
1944-04-01,8,0,284.86671037115093
1944-05-01,8,0,288.74029289343395
1944-06-01,8,0,292.3781489564886
1944-07-01,8,0,295.02474330728404
1944-08-01,8,0,295.8850566718836
1944-09-01,8,0,292.14735616812374
1944-10-01,8,0,286.5084495913619
1944-11-01,8,0,281.8793200988923
1944-12-01,8,0,277.34688771861966
1945-01-01,8,0,273.7889492377586
1945-02-01,8,0,277.8762618173828
1945-03-01,8,0,280.76924596156
1945-04-01,8,0,285.73876390108717
1945-05-01,8,0,290.3737182773677
1945-06-01,8,0,294.11274970383363
1945-07-01,8,0,296.3758076958918
1945-08-01,8,0,295.56930136308256
1945-09-01,8,0,292.7047994683345
1945-10-01,8,0,286.9035054387033
1945-11-01,8,0,282.24533427458
1945-12-01,8,0,278.49737218759486
1946-01-01,8,0,275.9245860343534
1946-02-01,8,0,278.253841162289
1946-03-01,8,0,280.9187568608136
1946-04-01,8,0,284.848001494961
1946-05-01,8,0,288.2095344987462
1946-06-01,8,0,292.74347555517215
1946-07-01,8,0,296.4826694954845
1946-08-01,8,0,296.6172623733553
1946-09-01,8,0,293.82902638952316
1946-10-01,8,0,286.97050532358276
1946-11-01,8,0,282.90215114768387
1946-12-01,8,0,276.5917739827977
1947-01-01,8,0,274.5785856900683
1947-02-01,8,0,278.4458830010435
1947-03-01,8,0,282.82466223597123
1947-04-01,8,0,286.0450372560302
1947-05-01,8,0,289.3585212733277
1947-06-01,8,0,293.9158176251718
1947-07-01,8,0,296.3557163537836
1947-08-01,8,0,296.1454289404643
1947-09-01,8,0,292.74976248463065
1947-10-01,8,0,287.19437956915976
1947-11-01,8,0,283.4557031688337
1947-12-01,8,0,277.9415221661088
1948-01-01,8,0,279.53267809816987
1948-02-01,8,0,277.9140513081436
1948-03-01,8,0,281.3219149552828
1948-04-01,8,0,284.1687599024224
1948-05-01,8,0,288.22521082307145
1948-06-01,8,0,291.5775337232277
1948-07-01,8,0,293.61596732490966
1948-08-01,8,0,295.21744221536494
1948-09-01,8,0,291.8697976543349
1948-10-01,8,0,287.68572189776296
1948-11-01,8,0,282.60001218929517
1948-12-01,8,0,277.82960041159595
1949-01-01,8,0,277.6630172842621
1949-02-01,8,0,278.22000427358114
1949-03-01,8,0,278.92291658709166
1949-04-01,8,0,285.4590179740892
1949-05-01,8,0,288.00513066130804
1949-06-01,8,0,292.18426141250495
1949-07-01,8,0,295.4722313306207
1949-08-01,8,0,295.1729736922618
1949-09-01,8,0,292.2127431232675
1949-10-01,8,0,287.6758637616912
1949-11-01,8,0,282.75205000537426
1949-12-01,8,0,279.3292871762685
1950-01-01,8,0,276.21332968769775
1950-02-01,8,0,279.3335204544603
1950-03-01,8,0,281.51264952483524
1950-04-01,8,0,284.570700850291
1950-05-01,8,0,288.9992414044833
1950-06-01,8,0,294.04598254012205
1950-07-01,8,0,297.64538858153884
1950-08-01,8,0,296.0911228219377
1950-09-01,8,0,292.71609326502266
1950-10-01,8,0,287.40456715857715
1950-11-01,8,0,282.9334175374185
1950-12-01,8,0,278.6750326525212
1951-01-01,8,0,278.42310993231456
1951-02-01,8,0,279.2165379614345
1951-03-01,8,0,281.1955669215173
1951-04-01,8,0,284.4358829892471
1951-05-01,8,0,287.63828450232324
1951-06-01,8,0,292.6463521897517
1951-07-01,8,0,295.14640713776157
1951-08-01,8,0,295.3366590572867
1951-09-01,8,0,292.7017956197589
1951-10-01,8,0,285.5737281828236
1951-11-01,8,0,283.27622426556286
1951-12-01,8,0,279.2680545384654
1952-01-01,8,0,276.9188445304052
1952-02-01,8,0,277.57278859804524
1952-03-01,8,0,281.37777795991263
1952-04-01,8,0,285.6851352830188
1952-05-01,8,0,288.52364033012134
1952-06-01,8,0,293.71744577127055
1952-07-01,8,0,296.29578666473986
1952-08-01,8,0,296.39557260548855
1952-09-01,8,0,291.69671573725066
1952-10-01,8,0,287.5553592456565
1952-11-01,8,0,282.00495088955415
1952-12-01,8,0,279.1827613964178
1953-01-01,8,0,276.00887238877556
1953-02-01,8,0,277.48591283342
1953-03-01,8,0,280.0245814784498
1953-04-01,8,0,284.98972804452876
1953-05-01,8,0,289.16988221700694
1953-06-01,8,0,291.8595224689142
1953-07-01,8,0,295.6512494190265
1953-08-01,8,0,295.32979106525227
1953-09-01,8,0,292.3866308143755
1953-10-01,8,0,287.50411314864095
1953-11-01,8,0,281.60407473909777
1953-12-01,8,0,279.5627956018749
1954-01-01,8,0,274.9285226970798
1954-02-01,8,0,275.82154892629376
1954-03-01,8,0,281.3778324608894
1954-04-01,8,0,283.1300079842151
1954-05-01,8,0,287.71893202104815
1954-06-01,8,0,292.95197532608154
1954-07-01,8,0,294.52503279049427
1954-08-01,8,0,294.2826355172094
1954-09-01,8,0,292.65924517847225
1954-10-01,8,0,287.41395484942393
1954-11-01,8,0,282.7758807722794
1954-12-01,8,0,279.5384885133584
1955-01-01,8,0,280.2006987794079
1955-02-01,8,0,280.0389077043233
1955-03-01,8,0,280.2117994737859
1955-04-01,8,0,284.0724275510431
1955-05-01,8,0,289.3036671017149
1955-06-01,8,0,292.63354621605515
1955-07-01,8,0,295.2494459911444
1955-08-01,8,0,294.35533353391304
1955-09-01,8,0,291.46229211083175
1955-10-01,8,0,287.0855921102747
1955-11-01,8,0,281.9997455826578
1955-12-01,8,0,280.7053722223968
1956-01-01,8,0,278.73619426767766
1956-02-01,8,0,273.18241328979866
1956-03-01,8,0,279.4583510453222
1956-04-01,8,0,283.7518214871061
1956-05-01,8,0,288.4395445890891
1956-06-01,8,0,291.36995902558266
1956-07-01,8,0,294.91446740042164
1956-08-01,8,0,295.30651804695185
1956-09-01,8,0,292.2055372075972
1956-10-01,8,0,286.3958326344003
1956-11-01,8,0,280.4678044995998
1956-12-01,8,0,277.5639275701145
1957-01-01,8,0,276.30554755638013
1957-02-01,8,0,280.6209507983602
1957-03-01,8,0,282.35090069010096
1957-04-01,8,0,284.27861256555695
1957-05-01,8,0,287.0244941213315
1957-06-01,8,0,292.6248375551836
1957-07-01,8,0,295.20219984188464
1957-08-01,8,0,295.1000422308341
1957-09-01,8,0,291.7087770077642
1957-10-01,8,0,287.0558706686521
1957-11-01,8,0,282.35333605425745
1957-12-01,8,0,277.8601925244494
1958-01-01,8,0,277.63021730023206
1958-02-01,8,0,280.6280878813376
1958-03-01,8,0,279.8337316078241
1958-04-01,8,0,282.9703620647408
1958-05-01,8,0,290.03051808199245
1958-06-01,8,0,292.0552003820276
1958-07-01,8,0,295.08940153734727
1958-08-01,8,0,295.64968609899347
1958-09-01,8,0,292.31086239187994
1958-10-01,8,0,286.94246345800843
1958-11-01,8,0,282.72715019092084
1958-12-01,8,0,280.4745296866138
1959-01-01,8,0,278.0164053832407
1959-02-01,8,0,277.9859730613325
