time,transnational_regions,realization,t2m
1940-01-01,8,0,283.06972011001335
1940-02-01,8,0,287.3321158828415
1940-03-01,8,0,292.3129144303647
1940-04-01,8,0,294.4990647089189
1940-05-01,8,0,298.84712828115266
1940-06-01,8,0,300.2611624907481
1940-07-01,8,0,304.28525661500794
1940-08-01,8,0,303.9250699432083
1940-09-01,8,0,300.082570783415
1940-10-01,8,0,296.888854620905
1940-11-01,8,0,291.66023127863804
1940-12-01,8,0,283.91029758454226
1941-01-01,8,0,285.179792086131
1941-02-01,8,0,287.98354648125706
1941-03-01,8,0,291.36805721912197
1941-04-01,8,0,293.5574721278013
1941-05-01,8,0,297.39880289524945
1941-06-01,8,0,302.8213175082701
1941-07-01,8,0,305.6253125513066
1941-08-01,8,0,304.86392071017076
1941-09-01,8,0,300.7808409376442
1941-10-01,8,0,295.96386608772565
1941-11-01,8,0,289.35629860839646
1941-12-01,8,0,285.16273461368644
1942-01-01,8,0,282.13585880458515
1942-02-01,8,0,284.1788842378954
1942-03-01,8,0,290.2113911993462
1942-04-01,8,0,293.58201387683823
1942-05-01,8,0,300.03705039238207
1942-06-01,8,0,302.60314400601095
1942-07-01,8,0,304.4526595673872
1942-08-01,8,0,303.8730647685263
1942-09-01,8,0,302.7526638299581
1942-10-01,8,0,298.0696488155444
1942-11-01,8,0,291.0273140953605
1942-12-01,8,0,286.3365049324991
1943-01-01,8,0,284.62451730396833
1943-02-01,8,0,287.1880264984319
1943-03-01,8,0,289.42400137708285
1943-04-01,8,0,294.8127674404175
1943-05-01,8,0,298.0513500658594
1943-06-01,8,0,301.08383456117554
1943-07-01,8,0,305.05106895997784
1943-08-01,8,0,305.1709306426915
1943-09-01,8,0,303.5630236265366
1943-10-01,8,0,297.42548065884773
1943-11-01,8,0,290.04061684143784
1943-12-01,8,0,286.01676508493546
1944-01-01,8,0,286.0192328845626
1944-02-01,8,0,286.44899617064516
1944-03-01,8,0,288.88606588405
1944-04-01,8,0,294.451962411109
1944-05-01,8,0,298.5011581487064
1944-06-01,8,0,300.87038186997125
1944-07-01,8,0,304.0659906336872
1944-08-01,8,0,304.5517069026395
1944-09-01,8,0,302.85324635409324
1944-10-01,8,0,295.95557886528013
1944-11-01,8,0,290.4686701332228
1944-12-01,8,0,286.0418211528412
1945-01-01,8,0,282.88999016202285
1945-02-01,8,0,287.41181370717203
1945-03-01,8,0,290.83319304864744
1945-04-01,8,0,295.6743186627994
1945-05-01,8,0,300.9388399912643
1945-06-01,8,0,303.9720180277517
1945-07-01,8,0,306.7202079036107
1945-08-01,8,0,305.46440473275914
1945-09-01,8,0,302.84710659989435
1945-10-01,8,0,295.06558794635
1945-11-01,8,0,291.82594225943944
1945-12-01,8,0,285.98763331812637
1946-01-01,8,0,285.2505921195158
1946-02-01,8,0,287.1720787578996
1946-03-01,8,0,290.72132160936434
1946-04-01,8,0,293.07890630420553
1946-05-01,8,0,295.8508167800495
1946-06-01,8,0,301.9033677168205
1946-07-01,8,0,305.4802571823436
1946-08-01,8,0,306.4261468506087
1946-09-01,8,0,303.73711010951024
1946-10-01,8,0,298.995022550597
1946-11-01,8,0,291.42529174292906
1946-12-01,8,0,285.7315385878801
1947-01-01,8,0,284.44799001454624
1947-02-01,8,0,286.6545659023251
1947-03-01,8,0,292.90356162552644
1947-04-01,8,0,296.88938007681713
1947-05-01,8,0,299.6540038000251
1947-06-01,8,0,303.40172661289483
1947-07-01,8,0,305.5994483708361
1947-08-01,8,0,305.9623322261808
1947-09-01,8,0,301.50879736193974
1947-10-01,8,0,296.8055457063152
1947-11-01,8,0,291.7757285737071
1947-12-01,8,0,286.868350211869
1948-01-01,8,0,287.01562415688517
1948-02-01,8,0,287.7131340794118
1948-03-01,8,0,290.8604581655226
1948-04-01,8,0,292.3417462314254
1948-05-01,8,0,296.6422181838119
1948-06-01,8,0,300.86753418522983
1948-07-01,8,0,302.6451670510212
1948-08-01,8,0,304.15959576641853
1948-09-01,8,0,300.8945323145541
1948-10-01,8,0,297.08693803941844
1948-11-01,8,0,292.1320411701379
1948-12-01,8,0,285.829847112561
1949-01-01,8,0,286.13973134642345
1949-02-01,8,0,287.83342065823604
1949-03-01,8,0,288.67658824055604
1949-04-01,8,0,296.17273632014485
1949-05-01,8,0,297.4526290529568
1949-06-01,8,0,301.2426699882403
1949-07-01,8,0,304.56727254917274
1949-08-01,8,0,304.7757408166642
1949-09-01,8,0,301.59839411639473
1949-10-01,8,0,296.34982863586373
1949-11-01,8,0,290.9113236145037
1949-12-01,8,0,286.81775864804587
1950-01-01,8,0,285.0088373357527
1950-02-01,8,0,289.14154626275996
1950-03-01,8,0,291.07095282196786
1950-04-01,8,0,295.1578037446425
1950-05-01,8,0,299.5952685915212
1950-06-01,8,0,304.70554550187063
1950-07-01,8,0,306.24254344660505
1950-08-01,8,0,305.17308743453486
1950-09-01,8,0,302.8864429935593
1950-10-01,8,0,296.4572627077908
1950-11-01,8,0,290.91735774076164
1950-12-01,8,0,287.38894394807244
1951-01-01,8,0,285.7361907493713
1951-02-01,8,0,286.830432150119
1951-03-01,8,0,291.6937192675877
1951-04-01,8,0,292.98310685906455
1951-05-01,8,0,298.2658987394982
1951-06-01,8,0,302.050273423984
1951-07-01,8,0,304.5316843749006
1951-08-01,8,0,304.7266808200827
1951-09-01,8,0,301.9624763732039
1951-10-01,8,0,294.0960744903448
1951-11-01,8,0,291.612258051287
1951-12-01,8,0,286.3274836927678
1952-01-01,8,0,284.8790989292651
1952-02-01,8,0,286.6080985209182
1952-03-01,8,0,294.5107503223679
1952-04-01,8,0,295.700605874178
1952-05-01,8,0,298.2810658616246
1952-06-01,8,0,303.9363861905024
1952-07-01,8,0,305.27230217763565
1952-08-01,8,0,306.10916508704844
1952-09-01,8,0,301.76646469767024
1952-10-01,8,0,297.7342436310428
1952-11-01,8,0,290.4422223583871
1952-12-01,8,0,288.2533174092173
1953-01-01,8,0,285.5447426974772
1953-02-01,8,0,287.285413619166
1953-03-01,8,0,290.998115682207
1953-04-01,8,0,293.7080765386439
1953-05-01,8,0,299.8587429166307
1953-06-01,8,0,300.7599862361858
1953-07-01,8,0,304.6144053038998
1953-08-01,8,0,303.69991898921023
1953-09-01,8,0,302.33424060792936
1953-10-01,8,0,296.7123304901161
1953-11-01,8,0,289.97227523658756
1953-12-01,8,0,288.20173080401696
1954-01-01,8,0,284.02753832037445
1954-02-01,8,0,285.21213455668556
1954-03-01,8,0,290.250006173797
1954-04-01,8,0,292.482211685253
1954-05-01,8,0,297.32226846095193
1954-06-01,8,0,302.5531187338022
1954-07-01,8,0,304.3174151955888
1954-08-01,8,0,304.04358149269234
1954-09-01,8,0,301.8655159788898
1954-10-01,8,0,296.39902120378065
1954-11-01,8,0,291.7132744144385
1954-12-01,8,0,287.56380883685927
1955-01-01,8,0,287.4567805123753
1955-02-01,8,0,288.717475174486
1955-03-01,8,0,293.18539729488975
1955-04-01,8,0,294.09592575188685
1955-05-01,8,0,298.0271261725042
1955-06-01,8,0,301.849104184111
1955-07-01,8,0,304.17798868176044
1955-08-01,8,0,301.951760447744
1955-09-01,8,0,299.8950967319329
1955-10-01,8,0,295.5287984407201
1955-11-01,8,0,291.08834435977195
1955-12-01,8,0,287.84982753345844
1956-01-01,8,0,286.4988790324909
1956-02-01,8,0,283.6740500490265
1956-03-01,8,0,288.65326575159804
1956-04-01,8,0,292.8087087264611
1956-05-01,8,0,297.89735273165695
1956-06-01,8,0,300.5164384083064
1956-07-01,8,0,304.09677251482316
1956-08-01,8,0,304.91279767982553
1956-09-01,8,0,302.7499901084111
1956-10-01,8,0,297.71049426801835
1956-11-01,8,0,288.5698215993427
1956-12-01,8,0,285.77792003583295
1957-01-01,8,0,284.7761969510729
1957-02-01,8,0,288.88590147568675
1957-03-01,8,0,292.85737966203834
1957-04-01,8,0,293.81725020513585
