time,transnational_regions,realization,t2m
1940-01-01,8,0,271.12806458983744
1940-02-01,8,0,274.28229761826555
1940-03-01,8,0,276.47443965365744
1940-04-01,8,0,279.9948703534318
1940-05-01,8,0,284.1508810270749
1940-06-01,8,0,287.87891042037336
1940-07-01,8,0,290.33906275256373
1940-08-01,8,0,290.0636168969463
1940-09-01,8,0,287.5658795205942
1940-10-01,8,0,283.88199810712985
1940-11-01,8,0,279.3677843715694
1940-12-01,8,0,271.0362669217702
1941-01-01,8,0,273.47090084740586
1941-02-01,8,0,276.09969255386096
1941-03-01,8,0,277.01830983770174
1941-04-01,8,0,279.7412643316562
1941-05-01,8,0,283.2242579959893
1941-06-01,8,0,288.52050497479786
1941-07-01,8,0,291.24548930699694
1941-08-01,8,0,290.4672792767782
1941-09-01,8,0,286.52486484528885
1941-10-01,8,0,282.2607686440797
1941-11-01,8,0,277.5730370302865
1941-12-01,8,0,273.2151893640976
1942-01-01,8,0,270.3274318227392
1942-02-01,8,0,273.0502627775505
1942-03-01,8,0,277.81759820498905
1942-04-01,8,0,280.98327054836176
1942-05-01,8,0,284.7090194004057
1942-06-01,8,0,288.8220996700272
1942-07-01,8,0,290.38321261886455
1942-08-01,8,0,290.9122819231093
1942-09-01,8,0,288.80692121020945
1942-10-01,8,0,284.08347411723827
1942-11-01,8,0,278.24614697935914
1942-12-01,8,0,276.29981161672066
1943-01-01,8,0,273.5581085214742
1943-02-01,8,0,275.1198050966665
1943-03-01,8,0,277.2335650026335
1943-04-01,8,0,281.04241407291346
1943-05-01,8,0,284.79984947169555
1943-06-01,8,0,288.4011894635164
1943-07-01,8,0,290.98479464608914
1943-08-01,8,0,291.88748391670214
1943-09-01,8,0,289.1816545414064
1943-10-01,8,0,284.8806584222208
1943-11-01,8,0,278.94491727233407
1943-12-01,8,0,276.69151838080984
1944-01-01,8,0,273.830645646159
1944-02-01,8,0,273.283666513473
1944-03-01,8,0,275.51326405894235
1944-04-01,8,0,281.1410272311673
1944-05-01,8,0,284.54814380644257
1944-06-01,8,0,288.33764992750844
1944-07-01,8,0,290.63845316751434
1944-08-01,8,0,291.5018337275438
1944-09-01,8,0,288.49756471974376
1944-10-01,8,0,283.4210901328256
1944-11-01,8,0,278.930286714966
1944-12-01,8,0,274.95231431525326
1945-01-01,8,0,270.78173047936684
1945-02-01,8,0,274.23736230473094
1945-03-01,8,0,276.6084062681336
1945-04-01,8,0,281.2726368832369
1945-05-01,8,0,285.612653949952
1945-06-01,8,0,289.317059861271
1945-07-01,8,0,291.50937268440117
1945-08-01,8,0,291.0907040997678
1945-09-01,8,0,288.5166278858269
1945-10-01,8,0,283.37756582652213
1945-11-01,8,0,279.6739510858597
1945-12-01,8,0,275.9319971355208
1946-01-01,8,0,273.2240458326824
1946-02-01,8,0,274.6837964429923
1946-03-01,8,0,277.5160686641893
1946-04-01,8,0,281.08794105555444
1946-05-01,8,0,284.4322249118194
1946-06-01,8,0,288.2227862692845
1946-07-01,8,0,291.5475693427972
1946-08-01,8,0,291.8048787920958
1946-09-01,8,0,289.35666557050786
1946-10-01,8,0,283.6153047394572
1946-11-01,8,0,280.31208241521335
1946-12-01,8,0,274.2122746310615
1947-01-01,8,0,271.71604596094915
1947-02-01,8,0,275.88165147354096
1947-03-01,8,0,279.4487591633225
1947-04-01,8,0,281.5980522035221
1947-05-01,8,0,285.3763871651289
1947-06-01,8,0,289.531804823593
1947-07-01,8,0,291.9575855432372
1947-08-01,8,0,292.0379276560194
1947-09-01,8,0,288.7838551560202
1947-10-01,8,0,283.96207079380855
1947-11-01,8,0,280.3503386377048
1947-12-01,8,0,275.30625998813207
1948-01-01,8,0,276.8149242587011
1948-02-01,8,0,274.6930711436215
1948-03-01,8,0,277.31196231339203
1948-04-01,8,0,280.60777293385246
1948-05-01,8,0,284.73360254105967
1948-06-01,8,0,287.58055939724
1948-07-01,8,0,289.286691294144
1948-08-01,8,0,290.91913247684863
1948-09-01,8,0,287.96936184203776
1948-10-01,8,0,284.36951493642016
1948-11-01,8,0,279.548481698272
1948-12-01,8,0,275.2336552377162
1949-01-01,8,0,274.87354160804625
1949-02-01,8,0,274.6287129910167
1949-03-01,8,0,275.4303855799912
1949-04-01,8,0,281.1867368308641
1949-05-01,8,0,284.29518050636386
1949-06-01,8,0,287.9683180211233
1949-07-01,8,0,291.00171049333835
1949-08-01,8,0,290.8801988432316
1949-09-01,8,0,288.8144464716223
1949-10-01,8,0,284.49520426369486
1949-11-01,8,0,280.17823164644125
1949-12-01,8,0,276.7582523287248
1950-01-01,8,0,273.26399369331637
1950-02-01,8,0,275.83053173764046
1950-03-01,8,0,277.9088190416401
1950-04-01,8,0,280.7296805913919
1950-05-01,8,0,284.9145879003904
1950-06-01,8,0,289.52827670294675
1950-07-01,8,0,292.923917593541
1950-08-01,8,0,291.67487346518806
1950-09-01,8,0,288.653873280516
1950-10-01,8,0,284.06321114143805
1950-11-01,8,0,279.88734237203846
1950-12-01,8,0,276.27363920146047
1951-01-01,8,0,275.89496696757055
1951-02-01,8,0,276.4428507143179
1951-03-01,8,0,277.9680028563173
1951-04-01,8,0,280.73362810133005
1951-05-01,8,0,284.0675480136461
1951-06-01,8,0,288.5891238509359
1951-07-01,8,0,290.9129181093614
