time,transnational_regions,realization,t2m
1940-01-01,8,0,262.1260201992929
1940-02-01,8,0,265.12506565684066
1940-03-01,8,0,269.2071079427169
1940-04-01,8,0,274.15319392743856
1940-05-01,8,0,280.160486541337
1940-06-01,8,0,284.5008001976047
1940-07-01,8,0,286.97408630064825
1940-08-01,8,0,285.92501048195015
1940-09-01,8,0,283.01170876445815
1940-10-01,8,0,276.9014367632582
1940-11-01,8,0,273.39877830576097
1940-12-01,8,0,264.1117027733104
1941-01-01,8,0,264.996651720705
1941-02-01,8,0,269.5530332212006
1941-03-01,8,0,271.8858898049672
1941-04-01,8,0,273.21244429083447
1941-05-01,8,0,278.79551433568406
1941-06-01,8,0,284.0077251502013
1941-07-01,8,0,287.94621979567626
1941-08-01,8,0,286.70817630294556
1941-09-01,8,0,282.6529722999576
1941-10-01,8,0,274.2268915402152
1941-11-01,8,0,270.6406788144907
1941-12-01,8,0,265.058577350928
1942-01-01,8,0,261.6330643916089
1942-02-01,8,0,266.7221039971375
1942-03-01,8,0,272.3321799264784
1942-04-01,8,0,276.6332655441439
1942-05-01,8,0,278.91692674546005
1942-06-01,8,0,284.6558871033425
1942-07-01,8,0,286.74380571416714
1942-08-01,8,0,287.71322511627136
1942-09-01,8,0,283.8532816340914
1942-10-01,8,0,279.2204114648494
1942-11-01,8,0,271.5483298638741
1942-12-01,8,0,270.878784115406
1943-01-01,8,0,266.8097473823695
1943-02-01,8,0,270.7922838861886
1943-03-01,8,0,272.7213320535371
1943-04-01,8,0,275.9377768480864
1943-05-01,8,0,279.9816766553048
1943-06-01,8,0,284.58300273873306
1943-07-01,8,0,287.1661045154567
1943-08-01,8,0,288.90621148439254
1943-09-01,8,0,284.20453773546035
1943-10-01,8,0,279.88573228691916
1943-11-01,8,0,273.4282923703954
1943-12-01,8,0,271.3744819835879
1944-01-01,8,0,269.0806389909637
1944-02-01,8,0,267.64346346391903
1944-03-01,8,0,270.3689345949856
1944-04-01,8,0,275.62099327360954
1944-05-01,8,0,279.6351635570891
1944-06-01,8,0,285.17599471331823
1944-07-01,8,0,287.6606702079596
1944-08-01,8,0,288.08874525077414
1944-09-01,8,0,283.3068225545172
1944-10-01,8,0,279.01413803910793
1944-11-01,8,0,273.5921307786349
1944-12-01,8,0,268.5239405419597
1945-01-01,8,0,263.5996686738867
1945-02-01,8,0,269.1087542881661
1945-03-01,8,0,271.2734919025487
1945-04-01,8,0,277.350892876677
1945-05-01,8,0,278.64565700211716
1945-06-01,8,0,284.74301409435617
1945-07-01,8,0,287.17788417569557
1945-08-01,8,0,287.5474959573181
1945-09-01,8,0,282.88276682344366
1945-10-01,8,0,279.08440443661704
1945-11-01,8,0,273.93825478924884
1945-12-01,8,0,268.8241234116226
1946-01-01,8,0,266.987224866214
1946-02-01,8,0,269.6053397218046
1946-03-01,8,0,272.7227032989856
1946-04-01,8,0,277.18193888612217
1946-05-01,8,0,280.9583073663214
1946-06-01,8,0,284.0043674399925
1946-07-01,8,0,287.7987808450425
1946-08-01,8,0,287.60230047398204
1946-09-01,8,0,285.4698018586706
1946-10-01,8,0,277.42366235087286
1946-11-01,8,0,275.19614232768475
1946-12-01,8,0,267.33792310516935
1947-01-01,8,0,263.7960089519124
1947-02-01,8,0,268.06418909505203
1947-03-01,8,0,272.98186882102186
1947-04-01,8,0,276.16711782259574
1947-05-01,8,0,280.89617641093906
1947-06-01,8,0,285.2091727688654
1947-07-01,8,0,288.51961156103425
1947-08-01,8,0,287.5288193112248
1947-09-01,8,0,284.4377511633529
1947-10-01,8,0,278.3123263945835
1947-11-01,8,0,273.404455412503
1947-12-01,8,0,268.7537568257351
1948-01-01,8,0,269.7081579217485
1948-02-01,8,0,267.14282539646774
1948-03-01,8,0,272.56790147101844
1948-04-01,8,0,276.3025524606019
