Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1982,"Aceitunas, olivas",3337900.0,2461397.854921808,2045800.0,1631.6,876502.145078192,26.25908939986794
1983,"Aceitunas, olivas",1328400.0,1843090.2445080148,2050400.0,647.9,514690.24450801476,38.74512530171746
1984,"Aceitunas, olivas",3525400.0,2825440.859631173,2039100.0,1728.9,699959.1403688272,19.854743869314888
1985,"Aceitunas, olivas",1989500.0,1791115.210398751,2051000.0,970.0,198384.78960124892,9.971590329291224
1986,"Aceitunas, olivas",2556800.0,2869856.896383436,2063000.0,1239.4,313056.89638343593,12.244090127637513
1987,"Aceitunas, olivas",3879000.0,2909984.270411745,2057000.0,1885.8,969015.7295882548,24.98107062614733
1988,"Aceitunas, olivas",2223700.0,3157343.4122818406,2035000.0,1092.7,933643.4122818406,41.98603284084366
1989,"Aceitunas, olivas",2945700.0,3135847.995861056,2054000.0,1434.1,190147.9958610558,6.455103909463143
1990,"Aceitunas, olivas",3369300.0,3018559.56155484,2064000.0,1632.4,350740.43844516017,10.409890435555164
1991,"Aceitunas, olivas",2983000.0,3060633.643505528,2074000.0,1438.3,77633.6435055281,2.6025358198299733
1992,"Aceitunas, olivas",3177900.0,3240198.10704301,2051000.0,1549.4,62298.10704301018,1.9603545436612284
1993,"Aceitunas, olivas",2809907.0,2950712.7766314084,2092000.0,1343.2,140805.77663140837,5.0110475767136915
1994,"Aceitunas, olivas",2799000.0,2938283.0427814564,2094000.0,1336.7,139283.04278145637,4.97617158919101
1995,"Aceitunas, olivas",1694200.0,2428840.1282466543,2119395.0,799.4,734640.1282466543,43.362066358555914
1996,"Aceitunas, olivas",4517200.0,3188799.8805659367,2125630.0,2125.1,1328400.1194340633,29.40760027083289
1997,"Aceitunas, olivas",5879640.0,5017787.582000813,2207556.0,2663.4,861852.4179991866,14.658251491574084
1998,"Aceitunas, olivas",4279180.0,5115351.472457824,2194000.0,1950.4,836171.4724578243,19.540460379274165
1999,"Aceitunas, olivas",3460100.0,4214204.199534352,2200000.0,1572.8,754104.1995343519,21.794289168935922
2000,"Aceitunas, olivas",4943800.0,4051546.5753350807,2300000.0,2149.5,892253.4246649193,18.047927194969844
2001,"Aceitunas, olivas",6762600.0,5366333.491710155,2400000.0,2817.8,1396266.5082898447,20.646888893174882
2002,"Aceitunas, olivas",4414911.0,5690436.045835513,2430582.0,1816.4,1275525.0458355127,28.89129692162566
2003,"Aceitunas, olivas",7553566.0,6224623.886917089,2439582.0,3096.3,1328942.113082911,17.59357253359421
2004,"Aceitunas, olivas",5200029.0,6101179.521579067,2464774.0,2109.7,901150.5215790672,17.329721076152985
2005,"Aceitunas, olivas",4021720.0,5186763.667503726,2465258.0,1631.4,1165043.6675037257,28.96879115163974
2006,"Aceitunas, olivas",5679021.0,5655349.0291661015,2483697.0,2286.5,23671.970833898522,0.4168318946856953
2007,"Aceitunas, olivas",6140251.0,5922887.996867275,2470162.0,2485.8,217363.00313272513,3.5399693454343337
2008,"Aceitunas, olivas",5570727.0,6236672.700655956,2450471.0,2273.3,665945.7006559558,11.954376882154802
2009,"Aceitunas, olivas",6972094.0,6350172.922962062,2449828.0,2846.0,621921.0770379379,8.92014762047009
2010,"Aceitunas, olivas",7197600.0,6610818.021673501,2475466.0,2907.6,586781.9783264995,8.15246718804184
2011,"Aceitunas, olivas",7820060.0,7335431.757371974,2503675.0,3123.4,484628.2426280258,6.197244556026755
2012,"Aceitunas, olivas",3849300.0,5497229.466047938,2504261.0,1537.1,1647929.466047938,42.81114659932814
2013,"Aceitunas, olivas",9276100.0,5467551.493680164,2507000.0,3700.1,3808548.506319836,41.05764821767592
2014,"Aceitunas, olivas",4560400.0,5495382.8278944995,2515800.0,1812.7,934982.8278944995,20.502210944094806
2015,"Aceitunas, olivas",5947700.0,6515581.317494743,2351370.0,2529.5,567881.3174947426,9.547914613964096
2016,"Aceitunas, olivas",7082550.0,6841222.074952124,2521694.0,2808.6,241327.9250478763,3.40735928511449
2017,"Aceitunas, olivas",6549499.0,6007148.786088949,2554829.0,2563.6,542350.2139110509,8.280789323138318
2018,"Aceitunas, olivas",9819570.0,8523379.909476025,2579000.0,3807.5,1296190.090523975,13.200069763991449
2019,"Aceitunas, olivas",5965080.0,6175179.141852213,2601900.0,2292.6,210099.14185221307,3.522151284680391
2020,"Aceitunas, olivas",8137810.0,8545946.774686491,2623720.0,3101.6,408136.7746864911,5.015314620106529
2021,"Aceitunas, olivas",8256550.0,7585891.472597623,2623290.0,3147.4,670658.5274023768,8.12274530406013
2022,"Aceitunas, olivas",3940070.0,5889622.883772275,2635280.0,1495.1,1949552.8837722754,49.480158570083155
2023,"Aceitunas, olivas",5101010.0,5583652.18262004,2651110.0,1924.1,482642.18262004014,9.461698420901746
1963,Aguacates,377.0,371.6373785343561,35.0,10771.4,5.362621465643883,1.422446012107131
1964,Aguacates,347.0,335.9986193267205,30.0,11566.7,11.001380673279527,3.1704267069969823
1965,Aguacates,400.0,287.0175562856769,40.0,10000.0,112.9824437143231,28.24561092858077
1966,Aguacates,469.0,393.50478061853306,52.0,9019.2,75.49521938146694,16.09706170180532
1967,Aguacates,599.0,374.79326442930267,62.0,9661.3,224.20673557069733,37.43017288325498
1968,Aguacates,555.0,611.7457551216264,42.0,13214.3,56.745755121626416,10.22446038227503
1969,Aguacates,674.0,552.4777466374312,63.0,10698.4,121.52225336256879,18.030007917295073
1970,Aguacates,600.0,543.9267992208,40.0,15000.0,56.073200779199965,9.345533463199994
1971,Aguacates,887.0,558.0717888946209,54.0,16425.9,328.9282111053791,37.08322560376314
1972,Aguacates,1526.0,1254.2402569588296,108.0,14129.6,271.7597430411704,17.808633226813264
1973,Aguacates,1800.0,1888.2780596982248,150.0,12000.0,88.27805969822475,4.904336649901375
1974,Aguacates,2000.0,1810.795778299891,200.0,10000.0,189.20422170010897,9.460211085005449
1975,Aguacates,2500.0,2426.1090297198666,300.0,8333.3,73.89097028013339,2.9556388112053353
1976,Aguacates,3000.0,2925.7781071696463,450.0,6666.7,74.22189283035368,2.4740630943451225
1977,Aguacates,4000.0,4584.774907958547,580.0,6896.6,584.7749079585474,14.619372698963684
1978,Aguacates,4948.0,3931.8230436192603,628.0,7879.0,1016.1769563807397,20.53712523000687
1979,Aguacates,6000.0,5587.492018805625,850.0,7058.8,412.50798119437513,6.875133019906252
1980,Aguacates,7596.0,6887.66987789091,910.0,8347.3,708.3301221090896,9.325041102015398
1981,Aguacates,10000.0,8461.240855519593,1500.0,6666.7,1538.7591444804075,15.387591444804075
1982,Aguacates,15000.0,12290.704110478933,2000.0,7500.0,2709.295889521067,18.061972596807113
1983,Aguacates,20000.0,16914.847114613687,2500.0,8000.0,3085.152885386313,15.425764426931565
1984,Aguacates,24549.0,22662.168107006448,3016.0,8139.6,1886.8318929935522,7.685982699880045
1985,Aguacates,27956.0,25885.73593167818,3795.0,7366.5,2070.2640683218197,7.405437359857705
1986,Aguacates,30282.0,30039.389610196464,4125.0,7341.1,242.61038980353624,0.8011702985388556
1987,Aguacates,32534.0,31466.308341443422,4274.0,7612.1,1067.6916585565777,3.281771864992247
1988,Aguacates,42992.0,35706.2026116922,5335.0,8058.5,7285.797388307801,16.94686776215994
1989,Aguacates,46222.0,42977.844403105795,6010.0,7690.8,3244.155596894205,7.018639602124972
1990,Aguacates,44880.0,46142.84204641724,6530.0,6872.9,1262.8420464172377,2.813819176508997
1991,Aguacates,52144.0,49054.15470609858,7000.0,7449.1,3089.845293901417,5.925600824450401
1992,Aguacates,53197.0,52776.361447571915,7200.0,7388.5,420.63855242808495,0.7907185601219711
1993,Aguacates,51745.0,53485.58051500401,7600.0,6808.6,1740.5805150040105,3.3637656102116353
1994,Aguacates,34100.0,47891.84273918768,7570.0,4504.6,13791.842739187683,40.445286625183826
1995,Aguacates,27955.0,31782.40072619855,7940.0,3520.8,3827.40072619855,13.691292170268465
1996,Aguacates,52085.0,34362.354606131375,7500.0,6944.7,17722.645393868625,34.02639031173778
1997,Aguacates,52409.0,53876.32982140746,8386.0,6249.6,1467.3298214074603,2.799766874787651
1998,Aguacates,73724.0,62143.74110115225,7965.0,9256.0,11580.258898847751,15.707583553317441
1999,Aguacates,66099.0,72920.89325641505,8057.0,8203.9,6821.8932564150455,10.320720822425521
2000,Aguacates,63843.0,63544.467281802936,8759.0,7288.8,298.53271819706424,0.4676044643846064
2001,Aguacates,74981.0,63748.193310837036,8613.0,8705.6,11232.806689162964,14.980870739471285
2002,Aguacates,74204.0,73115.58646355124,9033.0,8214.8,1088.4135364487593,1.466785532382027
2003,Aguacates,76609.0,75148.20527259448,9646.0,7942.0,1460.7947274055186,1.9068186863234329
2004,Aguacates,76297.0,74478.35997994336,9722.0,7847.9,1818.6400200566422,2.383632410260747
2005,Aguacates,74994.0,69093.46485995072,9907.0,7569.8,5900.53514004928,7.868009627502573
2006,Aguacates,79824.0,77488.08059573226,9801.0,8144.5,2335.919404267741,2.926337197168447
2007,Aguacates,82116.0,78030.04073940177,9980.0,8228.1,4085.9592605982325,4.97583815650815
2008,Aguacates,73585.0,77695.39038655329,10023.0,7341.6,4110.390386553292,5.585907979280141
2009,Aguacates,71931.0,76682.31229677045,10016.0,7181.6,4751.312296770455,6.605375007674653
2010,Aguacates,97378.0,82715.75739065178,10434.0,9332.8,14662.24260934822,15.05703814963156
2011,Aguacates,83426.0,87029.52368052746,10558.0,7901.7,3603.5236805274617,4.319425215792992
2012,Aguacates,76337.0,83444.28321569196,10645.0,7171.2,7107.283215691961,9.31040414961547
2013,Aguacates,69400.0,74049.62968515255,10800.0,6425.9,4649.629685152555,6.699754589556996
2014,Aguacates,77401.0,66774.59722397021,10893.0,7105.6,10626.40277602979,13.72902517542382
2015,Aguacates,86636.0,87823.95505532638,11329.0,7647.3,1187.9550553263834,1.3712025662846663
2016,Aguacates,91509.0,87953.56110718222,11441.0,7998.3,3555.4388928177796,3.885343400996382
2017,Aguacates,92936.0,92562.83879310191,11812.0,7867.9,373.1612068980903,0.40152492779772136
2018,Aguacates,89590.0,90764.44720394739,12160.0,7367.6,1174.4472039473912,1.31091327597655
2019,Aguacates,97730.0,93044.11460118477,14100.0,6931.2,4685.885398815226,4.79472567155963
2020,Aguacates,99070.0,98444.50256906972,15850.0,6250.5,625.4974309302779,0.6313691641569374
2021,Aguacates,116770.0,108472.83510188764,18060.0,6465.7,8297.164898112358,7.105562129067704
2022,Aguacates,105930.0,105364.70670204068,19520.0,5426.7,565.293297959317,0.5336479731514367
2023,Aguacates,86800.0,95785.9872068537,20040.0,4331.3,8985.987206853693,10.352519823564164
1963,Ajo verde,130600.0,138132.4752783533,18700.0,6984.0,7532.4752783532895,5.767592096748307
1964,Ajo verde,137600.0,130041.3939908322,20000.0,6880.0,7558.606009167794,5.49317297177892
1965,Ajo verde,123100.0,127472.68800023357,19000.0,6478.9,4372.688000233567,3.552142973382264
1966,Ajo verde,114900.0,123427.51202050387,16900.0,6798.8,8527.51202050387,7.421681479985962
1967,Ajo verde,113300.0,114123.38567784207,16600.0,6825.3,823.3856778420741,0.7267305188367821
1968,Ajo verde,123600.0,112770.13944866497,17300.0,7144.5,10829.860551335034,8.762023099785626
1969,Ajo verde,130200.0,126522.49203149762,18273.0,7125.3,3677.507968502381,2.8245068882506765
1970,Ajo verde,128000.0,128010.2238563813,18716.0,6839.1,10.22385638130072,0.007987387797891187
1971,Ajo verde,134600.0,131692.05288576882,19800.0,6798.0,2907.9471142311813,2.160436191850803
1972,Ajo verde,154700.0,142427.05857555193,23000.0,6726.1,12272.941424448072,7.933381657691061
1973,Ajo verde,185900.0,154303.55005318072,30700.0,6055.4,31596.44994681928,16.99647657171559
1974,Ajo verde,235000.0,207528.11517777768,38300.0,6135.8,27471.884822222317,11.690163754137156
1975,Ajo verde,192200.0,215640.33742675668,36000.0,5338.9,23440.337426756683,12.195805112776629
1976,Ajo verde,167900.0,187588.88506675154,36400.0,4612.6,19688.885066751536,11.726554536480963
1977,Ajo verde,197600.0,174342.50554792318,33400.0,5916.2,23257.49445207682,11.769987070889078
1978,Ajo verde,212200.0,208844.71521920926,36100.0,5878.1,3355.2847807907383,1.5811898118712246
1979,Ajo verde,211100.0,202446.7740464039,39800.0,5304.0,8653.225953596091,4.099112247084837
1980,Ajo verde,211500.0,207493.7782766913,33800.0,6257.4,4006.2217233086994,1.8941946682310635
1981,Ajo verde,153200.0,180555.96325522134,32700.0,4685.0,27355.963255221344,17.85637288199827
1982,Ajo verde,201200.0,165684.53564863684,35700.0,5635.9,35515.46435136316,17.651821248192427
1983,Ajo verde,223300.0,199307.1223927866,40900.0,5459.7,23992.87760721339,10.744683209679083
1984,Ajo verde,270000.0,238762.3291192291,44936.0,6008.5,31237.670880770893,11.569507733618849
1985,Ajo verde,248562.0,260288.3846014724,41690.0,5962.1,11726.384601472411,4.717689993431181
1986,Ajo verde,237800.0,250120.07821427667,39900.0,5959.9,12320.07821427667,5.180857112816093
1987,Ajo verde,238400.0,239028.89279090145,42500.0,5609.4,628.8927909014456,0.26379731161973385
1988,Ajo verde,255500.0,249892.59793976895,41600.0,6141.8,5607.402060231048,2.1946779100708604
1989,Ajo verde,233800.0,246473.7965646203,38800.0,6025.8,12673.796564620308,5.4207855280668555
1990,Ajo verde,212200.0,223803.82558209865,34900.0,6080.2,11603.825582098652,5.468343818142626
1991,Ajo verde,217100.0,206552.43241087883,34700.0,6256.5,10547.567589121172,4.858391335385155
1992,Ajo verde,227000.0,218883.79482269505,34100.0,6656.9,8116.205177304946,3.575420782953721
1993,Ajo verde,206300.0,222510.61799292488,30500.0,6763.9,16210.617992924876,7.8577886538656685
1994,Ajo verde,210700.0,205499.0532376258,30300.0,6953.8,5200.946762374195,2.4684132711790197
1995,Ajo verde,173600.0,170896.7399566275,26600.0,6526.3,2703.2600433724874,1.5571774443389905
1996,Ajo verde,212900.0,203995.3896035223,26200.0,8126.0,8904.610396477714,4.182531891253037
1997,Ajo verde,204066.0,200104.1683561939,25903.0,7878.1,3961.831643806101,1.94144622024546
1998,Ajo verde,169600.0,187583.2583712835,23150.0,7326.1,17983.258371283504,10.60333630382282
1999,Ajo verde,178074.0,179234.8185664908,23865.0,7461.7,1160.8185664908087,0.6518742581684068
2000,Ajo verde,162833.0,171909.61529160058,22741.0,7160.3,9076.615291600581,5.574186615489847
2001,Ajo verde,183016.0,175969.97703691976,24038.0,7613.6,7046.022963080235,3.8499491645977595
2002,Ajo verde,195178.0,177102.8533596092,23959.0,8146.3,18075.146640390798,9.26085247332732
2003,Ajo verde,170161.0,178954.38246316224,21683.0,7847.7,8793.382463162241,5.167683818949254
2004,Ajo verde,165425.0,169040.1983251793,21428.0,7720.0,3615.1983251793135,2.1854002267972272
2005,Ajo verde,136400.0,153365.34253054493,17331.0,7870.3,16965.342530544935,12.43793440655787
2006,Ajo verde,145372.0,155820.56219923962,15860.0,9166.0,10448.562199239619,7.187465398590938
2007,Ajo verde,151674.0,137720.3049930098,16686.0,9089.9,13953.695006990194,9.199793640960346
2008,Ajo verde,133610.0,134246.36016484312,15473.0,8635.0,636.3601648431213,0.47628183881679614
