Feature,Importance
produccion_prev_1_year,0.9399558975829388
produccion_prev_2_year,0.04704805823515764
area_prev_1_year,0.0017930482532422752
Código del producto (CPC),0.0014671944613210818
rendimiento_prev_2_year,0.000950286731610391
area_prev_2_year,0.0009328624053952379
rendimiento_prev_1_year,0.000823237569326121
rango_temp_anual_prev_1_year,0.0005719045735763476
temp_max_media_prev_1_year,0.0005069600748637194
temp_max_prev_1_year,0.0005047513419778658
temp_max_prev_2_year,0.0005037300566024982
dias_helada_prev_1_year,0.0004837732918326842
temp_min_prev_1_year,0.0004818406737773784
dias_helada_prev_2_year,0.000475962159230082
rango_temp_anual_prev_2_year,0.0004426046679447254
temp_min_prev_2_year,0.0004179694917111799
dias_refrigeracion_prev_1_year,0.00036611404417982046
temp_min_media_prev_2_year,0.0003501983413773558
dias_refrigeracion_prev_2_year,0.0003490402660390776
temp_max_media_prev_2_year,0.0003110265781542426
temp_media_prev_2_year,0.00030721719481034395
temp_media_prev_1_year,0.00026757207473266775
dias_calefaccion_prev_2_year,0.00025125580878884203
dias_calefaccion_prev_1_year,0.00024243401791233815
temp_min_media_prev_1_year,0.00019395207356788616
helada_stress_prev_2_year,9.262702580896118e-07
helada_stress_prev_1_year,1.8175967135788485e-07
