Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1982,"Aceitunas, olivas",3337900.0,2298081.616459249,2045800.0,1631.6,1039818.383540751,31.151873439610263
1983,"Aceitunas, olivas",1328400.0,1929065.9754611077,2050400.0,647.9,600665.9754611077,45.217251991953304
1984,"Aceitunas, olivas",3525400.0,2474233.029908784,2039100.0,1728.9,1051166.9700912158,29.816956092676456
1985,"Aceitunas, olivas",1989500.0,1802590.8633877859,2051000.0,970.0,186909.13661221415,9.394779422579248
1986,"Aceitunas, olivas",2556800.0,2593657.532877899,2063000.0,1239.4,36857.532877898775,1.4415493146862788
1987,"Aceitunas, olivas",3879000.0,2209944.9818328237,2057000.0,1885.8,1669055.0181671763,43.027971594925916
1988,"Aceitunas, olivas",2223700.0,3374675.471095379,2035000.0,1092.7,1150975.471095379,51.75947614765386
1989,"Aceitunas, olivas",2945700.0,2638627.7401197627,2054000.0,1434.1,307072.2598802373,10.424424071705785
1990,"Aceitunas, olivas",3369300.0,2731571.4440362104,2064000.0,1632.4,637728.5559637896,18.927627577354038
1991,"Aceitunas, olivas",2983000.0,2857476.2730449294,2074000.0,1438.3,125523.72695507063,4.207969391722113
1992,"Aceitunas, olivas",3177900.0,3124569.493432663,2051000.0,1549.4,53330.506567337085,1.6781681792170013
1993,"Aceitunas, olivas",2809907.0,2835374.582656324,2092000.0,1343.2,25467.58265632391,0.9063496641107307
1994,"Aceitunas, olivas",2799000.0,2674804.708394066,2094000.0,1336.7,124195.29160593404,4.437130818361345
1995,"Aceitunas, olivas",1694200.0,2644765.2206787216,2119395.0,799.4,950565.2206787216,56.1070251846725
1996,"Aceitunas, olivas",4517200.0,2423622.0090379384,2125630.0,2125.1,2093577.9909620616,46.34680755693929
1997,"Aceitunas, olivas",5879640.0,3355965.588971489,2207556.0,2663.4,2523674.411028511,42.92226073413527
1998,"Aceitunas, olivas",4279180.0,5132450.718966874,2194000.0,1950.4,853270.7189668743,19.94005204190696
1999,"Aceitunas, olivas",3460100.0,4461763.14715924,2200000.0,1572.8,1001663.1471592402,28.948965265721803
2000,"Aceitunas, olivas",4943800.0,3246815.5472453674,2300000.0,2149.5,1696984.4527546326,34.32550776234137
2001,"Aceitunas, olivas",6762600.0,4781251.52214256,2400000.0,2817.8,1981348.4778574398,29.29862002569189
2002,"Aceitunas, olivas",4414911.0,5707471.682399479,2430582.0,1816.4,1292560.6823994787,29.277162832942246
2003,"Aceitunas, olivas",7553566.0,5477550.704780607,2439582.0,3096.3,2076015.2952193934,27.48391018519456
2004,"Aceitunas, olivas",5200029.0,5540949.714067143,2464774.0,2109.7,340920.7140671434,6.556131015175942
2005,"Aceitunas, olivas",4021720.0,5634872.68982081,2465258.0,1631.4,1613152.6898208102,40.111014437126656
2006,"Aceitunas, olivas",5679021.0,4357656.85686079,2483697.0,2286.5,1321364.1431392096,23.267463584642663
2007,"Aceitunas, olivas",6140251.0,5059273.002252687,2470162.0,2485.8,1080977.9977473132,17.60478517486196
2008,"Aceitunas, olivas",5570727.0,6013058.32217441,2450471.0,2273.3,442331.32217441034,7.940280006081977
2009,"Aceitunas, olivas",6972094.0,5884808.080624909,2449828.0,2846.0,1087285.9193750909,15.594825878352914
2010,"Aceitunas, olivas",7197600.0,6059929.987515659,2475466.0,2907.6,1137670.012484341,15.806241142663403
2011,"Aceitunas, olivas",7820060.0,6609722.768476998,2503675.0,3123.4,1210337.2315230016,15.477339451653844
2012,"Aceitunas, olivas",3849300.0,6455712.964857501,2504261.0,1537.1,2606412.964857501,67.71134920264727
2013,"Aceitunas, olivas",9276100.0,4771058.295851134,2507000.0,3700.1,4505041.704148866,48.56611834875504
2014,"Aceitunas, olivas",4560400.0,5688303.200781613,2515800.0,1812.7,1127903.2007816127,24.732549793474533
2015,"Aceitunas, olivas",5947700.0,5720510.648538874,2351370.0,2529.5,227189.35146112554,3.8197849834579003
